# main 53679a8
# go1.27.1 darwin/arm64, recorded 2026-09-04T16:02Z
# go test -run='^$' -bench=. -benchmem -benchtime=100ms -count=6
goos: darwin
goarch: arm64
pkg: github.com/joshmedeski/sesh/v2/lister
cpu: Apple M4 Max
BenchmarkListShowWindows/n=100-16        	    3308	     37346 ns/op	   68095 B/op	     465 allocs/op
BenchmarkListShowWindows/n=100-16        	    3496	     37492 ns/op	   68096 B/op	     465 allocs/op
BenchmarkListShowWindows/n=100-16        	    3222	     37592 ns/op	   68099 B/op	     465 allocs/op
BenchmarkListShowWindows/n=100-16        	    3258	     37454 ns/op	   68096 B/op	     465 allocs/op
BenchmarkListShowWindows/n=100-16        	    2974	     37807 ns/op	   68098 B/op	     465 allocs/op
BenchmarkListShowWindows/n=1000-16       	     417	    284260 ns/op	  624048 B/op	    3965 allocs/op
BenchmarkListShowWindows/n=1000-16       	     417	    283241 ns/op	  624039 B/op	    3965 allocs/op
BenchmarkListShowWindows/n=1000-16       	     427	    283074 ns/op	  624008 B/op	    3965 allocs/op
BenchmarkListShowWindows/n=1000-16       	     424	    287865 ns/op	  624043 B/op	    3965 allocs/op
BenchmarkListShowWindows/n=1000-16       	     426	    284788 ns/op	  624042 B/op	    3965 allocs/op
BenchmarkListShowWindows/n=1000-16       	     426	    285784 ns/op	  624025 B/op	    3965 allocs/op
BenchmarkApplyDedup/n=10-16              	   61393	      1911 ns/op	    1848 B/op	      14 allocs/op
BenchmarkApplyDedup/n=10-16              	   62197	      1932 ns/op	    1848 B/op	      14 allocs/op
BenchmarkApplyDedup/n=10-16              	   62510	      1908 ns/op	    1848 B/op	      14 allocs/op
BenchmarkApplyDedup/n=10-16              	   62930	      1876 ns/op	    1848 B/op	      14 allocs/op
BenchmarkApplyDedup/n=10-16              	   62958	      1882 ns/op	    1848 B/op	      14 allocs/op
BenchmarkApplyDedup/n=10-16              	   64447	      1888 ns/op	    1848 B/op	      14 allocs/op
BenchmarkApplyDedup/n=100-16             	    5056	     24092 ns/op	   21000 B/op	      42 allocs/op
BenchmarkApplyDedup/n=100-16             	    5433	     23845 ns/op	   21000 B/op	      42 allocs/op
BenchmarkApplyDedup/n=100-16             	    5331	     23822 ns/op	   21000 B/op	      42 allocs/op
BenchmarkApplyDedup/n=100-16             	    5136	     25029 ns/op	   21000 B/op	      42 allocs/op
BenchmarkApplyDedup/n=100-16             	    5109	     24676 ns/op	   21000 B/op	      42 allocs/op
BenchmarkApplyDedup/n=100-16             	    5395	     23787 ns/op	   21000 B/op	      42 allocs/op
BenchmarkApplyDedup/n=1000-16            	     466	    257460 ns/op	  208264 B/op	      93 allocs/op
BenchmarkApplyDedup/n=1000-16            	     469	    258259 ns/op	  208264 B/op	      93 allocs/op
BenchmarkApplyDedup/n=1000-16            	     459	    259756 ns/op	  208264 B/op	      93 allocs/op
BenchmarkApplyDedup/n=1000-16            	     462	    255469 ns/op	  208264 B/op	      93 allocs/op
BenchmarkApplyDedup/n=1000-16            	     468	    258343 ns/op	  208264 B/op	      93 allocs/op
BenchmarkApplyDedup/n=1000-16            	     471	    258653 ns/op	  208264 B/op	      93 allocs/op
BenchmarkBlacklistFilter/n=10-16         	   25354	      4717 ns/op	    9730 B/op	     116 allocs/op
BenchmarkBlacklistFilter/n=10-16         	   25474	      4595 ns/op	    9737 B/op	     116 allocs/op
BenchmarkBlacklistFilter/n=10-16         	   25939	      4728 ns/op	    9768 B/op	     116 allocs/op
BenchmarkBlacklistFilter/n=10-16         	   25755	      4675 ns/op	    9741 B/op	     116 allocs/op
BenchmarkBlacklistFilter/n=10-16         	   25917	      4653 ns/op	    9751 B/op	     116 allocs/op
BenchmarkBlacklistFilter/n=10-16         	   26193	      4594 ns/op	    9747 B/op	     116 allocs/op
BenchmarkBlacklistFilter/n=100-16        	    9115	     13759 ns/op	    9712 B/op	     116 allocs/op
BenchmarkBlacklistFilter/n=100-16        	    8869	     13580 ns/op	    9720 B/op	     116 allocs/op
BenchmarkBlacklistFilter/n=100-16        	    9338	     13775 ns/op	    9716 B/op	     116 allocs/op
BenchmarkBlacklistFilter/n=100-16        	    9067	     13789 ns/op	    9753 B/op	     116 allocs/op
BenchmarkBlacklistFilter/n=100-16        	    9450	     13712 ns/op	    9734 B/op	     116 allocs/op
BenchmarkBlacklistFilter/n=100-16        	    9634	     13617 ns/op	    9703 B/op	     116 allocs/op
BenchmarkBlacklistFilter/n=1000-16       	    1156	    107079 ns/op	    9700 B/op	     116 allocs/op
BenchmarkBlacklistFilter/n=1000-16       	    1132	    105307 ns/op	    9704 B/op	     116 allocs/op
BenchmarkBlacklistFilter/n=1000-16       	    1138	    106366 ns/op	    9768 B/op	     116 allocs/op
BenchmarkBlacklistFilter/n=1000-16       	    1144	    105938 ns/op	    9896 B/op	     116 allocs/op
BenchmarkBlacklistFilter/n=1000-16       	    1129	    105257 ns/op	    9704 B/op	     116 allocs/op
BenchmarkBlacklistFilter/n=1000-16       	    1197	    104510 ns/op	    9726 B/op	     116 allocs/op
BenchmarkCachingListerApplyFilters/n=10/passthrough-16         	29909031	         3.964 ns/op	       0 B/op	       0 allocs/op
BenchmarkCachingListerApplyFilters/n=10/passthrough-16         	30263221	         3.980 ns/op	       0 B/op	       0 allocs/op
BenchmarkCachingListerApplyFilters/n=10/passthrough-16         	30453637	         4.011 ns/op	       0 B/op	       0 allocs/op
BenchmarkCachingListerApplyFilters/n=10/passthrough-16         	31197865	         3.958 ns/op	       0 B/op	       0 allocs/op
BenchmarkCachingListerApplyFilters/n=10/passthrough-16         	31230342	         3.990 ns/op	       0 B/op	       0 allocs/op
BenchmarkCachingListerApplyFilters/n=10/passthrough-16         	29382957	         3.980 ns/op	       0 B/op	       0 allocs/op
BenchmarkCachingListerApplyFilters/n=10/source-filter-16       	  558355	       218.0 ns/op	     160 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=10/source-filter-16       	  581476	       215.0 ns/op	     160 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=10/source-filter-16       	  576830	       218.8 ns/op	     160 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=10/source-filter-16       	  583657	       218.3 ns/op	     160 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=10/source-filter-16       	  551522	       222.2 ns/op	     160 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=10/source-filter-16       	  596594	       218.8 ns/op	     160 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=10/hide-attached-16       	 1571916	        68.72 ns/op	     160 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=10/hide-attached-16       	 1496892	        76.01 ns/op	     160 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=10/hide-attached-16       	 1950787	        61.21 ns/op	     160 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=10/hide-attached-16       	 1964672	        60.51 ns/op	     160 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=10/hide-attached-16       	 2032354	        58.82 ns/op	     160 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=10/hide-attached-16       	 2035894	        58.91 ns/op	     160 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=10/hide-duplicates-16     	   63654	      1875 ns/op	    1848 B/op	      14 allocs/op
BenchmarkCachingListerApplyFilters/n=10/hide-duplicates-16     	   63343	      1916 ns/op	    1848 B/op	      14 allocs/op
BenchmarkCachingListerApplyFilters/n=10/hide-duplicates-16     	   64508	      2012 ns/op	    1848 B/op	      14 allocs/op
BenchmarkCachingListerApplyFilters/n=10/hide-duplicates-16     	   52158	      2014 ns/op	    1848 B/op	      14 allocs/op
BenchmarkCachingListerApplyFilters/n=10/hide-duplicates-16     	   65394	      1883 ns/op	    1848 B/op	      14 allocs/op
BenchmarkCachingListerApplyFilters/n=10/hide-duplicates-16     	   65786	      1883 ns/op	    1848 B/op	      14 allocs/op
BenchmarkCachingListerApplyFilters/n=10/picker-defaults-16     	   56178	      2120 ns/op	    2280 B/op	      16 allocs/op
BenchmarkCachingListerApplyFilters/n=10/picker-defaults-16     	   56180	      2199 ns/op	    2280 B/op	      16 allocs/op
BenchmarkCachingListerApplyFilters/n=10/picker-defaults-16     	   55441	      2177 ns/op	    2280 B/op	      16 allocs/op
BenchmarkCachingListerApplyFilters/n=10/picker-defaults-16     	   56322	      2171 ns/op	    2280 B/op	      16 allocs/op
BenchmarkCachingListerApplyFilters/n=10/picker-defaults-16     	   56649	      2129 ns/op	    2280 B/op	      16 allocs/op
BenchmarkCachingListerApplyFilters/n=10/picker-defaults-16     	   56002	      2155 ns/op	    2280 B/op	      16 allocs/op
BenchmarkCachingListerApplyFilters/n=100/passthrough-16        	29490064	         4.107 ns/op	       0 B/op	       0 allocs/op
BenchmarkCachingListerApplyFilters/n=100/passthrough-16        	28991046	         4.051 ns/op	       0 B/op	       0 allocs/op
BenchmarkCachingListerApplyFilters/n=100/passthrough-16        	29645791	         4.017 ns/op	       0 B/op	       0 allocs/op
BenchmarkCachingListerApplyFilters/n=100/passthrough-16        	29905297	         4.044 ns/op	       0 B/op	       0 allocs/op
